"baseline_scenario","target_scenario","scenario_geography","carbon_price_model","risk_free_rate","discount_rate","growth_rate","div_netprofit_prop_coef","shock_year","market_passthrough","run_id"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2026,0,"aca8d255-b717-4b52-8134-3c0d8a08bc51"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2026,0,"8204edd4-74b5-4e37-94d0-e6d1ccebc2a4"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2026,0,"1ae6a3aa-b545-44c4-a490-3ac9900f5ef4"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2026,0,"b2148702-df1d-4e00-b5a5-58563a2265ae"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2030,0,"8eb3efee-bd12-450b-af6e-2e4fae1d81b9"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2030,0,"0443503a-b8a7-473c-8c56-a1c2e357068d"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2030,0,"afc13ad2-f844-4382-bf6d-e64a767259bc"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2030,0,"ad066549-3e50-4858-ad37-28803d851e3d"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2035,0,"de5800ab-df93-43fe-850c-69cf425ae60f"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2035,0,"ab899db7-b1fa-43ab-9362-ccbcdf2c5a48"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2035,0,"7c557164-0850-4319-9c33-2ad6985d93f3"
"NGFS2024GCAM_CP","NGFS2024GCAM_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2035,0,"38ad2982-39a4-48f7-8ff9-44140f137214"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2026,0,"8ab766a9-949c-4bbe-bf82-94c490330a00"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2026,0,"4cba3aaf-43ef-4abe-851b-be5841722e0f"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2026,0,"65dda1be-fccb-4cf5-9938-1817c4f3d214"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2026,0,"4e823137-f1f3-4d96-88b1-56221125fc16"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2030,0,"a8aa9dbe-6fd7-41ae-a030-6435963ababb"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2030,0,"48db80be-c8b4-44da-bf8c-93b7679bcd16"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2030,0,"433795af-f2e1-4708-a276-a4e928b1d81d"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2030,0,"63f7628f-4b00-46ce-98ea-48f37b38ceb4"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2035,0,"067bbf75-702a-4507-a5ab-4c82e4b706ca"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2035,0,"69ffda6a-d367-454e-8302-1e0e6b611e1f"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2035,0,"1de8534f-ff48-45e7-af58-e213ca359782"
"NGFS2024MESSAGE_CP","NGFS2024MESSAGE_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2035,0,"b422584c-52f2-4c84-acca-3a37c94b228e"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2026,0,"65da7a80-4cb8-4cc8-bc04-3e47621f6318"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2026,0,"fa9da5d4-b069-43e9-9a44-6d74e573b285"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2026,0,"dbd9a353-d3ff-4b8f-b1a1-8a857933cf5f"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2026,0,"e5b3bf48-261f-4d95-9a8a-61388a9edd80"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2030,0,"b4c59639-48ac-4411-9e38-981fb0d9a69a"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2030,0,"d9d6b873-cc72-41a3-9c51-de5b0819b81d"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2030,0,"580f0bad-3579-4114-b2a8-b24d5bc62ae2"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2030,0,"9b6fdd49-d681-4d1a-b6d5-980c76752921"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.04,0.1,0.03,1,2035,0,"eeb5dff2-fbf5-43dd-878d-f6d7b0f01581"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.05,0.1,0.03,1,2035,0,"25f966e1-58d3-42e7-bb2c-08cd21d018fe"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.04,0.15,0.03,1,2035,0,"b2f43188-1b6b-4813-9493-470b127b2247"
"NGFS2024REMIND_CP","NGFS2024REMIND_DT","Asia","no_carbon_tax",0.05,0.15,0.03,1,2035,0,"ad9842d9-b7f0-4962-857e-4853cd5e6107"
